gene_id	pathway_id	pathway_name
HORVU.MOREX.r3.2HG0194650	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.2HG0197270	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.2HG0205560	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.2HG0213380	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.2HG0214800	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.3HG0271550	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.3HG0280440	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.4HG0336400	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.4HG0349570	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.4HG0412570	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.5HG0432290	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.5HG0467300	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.5HG0485460	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.5HG0510100	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.5HG0535330	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.6HG0546660	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.6HG0569320	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.6HG0574550	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.6HG0599100	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.6HG0620060	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.7HG0652330	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.7HG0662760	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.7HG0670830	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.7HG0680490	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.7HG0722350	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.1HG0077420	GO:0000049	tRNA binding
HORVU.MOREX.r3.2HG0111990	GO:0000049	tRNA binding
HORVU.MOREX.r3.2HG0125860	GO:0000049	tRNA binding
HORVU.MOREX.r3.2HG0128540	GO:0000049	tRNA binding
HORVU.MOREX.r3.2HG0134810	GO:0000049	tRNA binding
HORVU.MOREX.r3.2HG0158310	GO:0000049	tRNA binding
HORVU.MOREX.r3.2HG0159150	GO:0000049	tRNA binding
HORVU.MOREX.r3.2HG0176660	GO:0000049	tRNA binding
HORVU.MOREX.r3.2HG0199540	GO:0000049	tRNA binding
HORVU.MOREX.r3.3HG0240520	GO:0000049	tRNA binding
HORVU.MOREX.r3.3HG0251300	GO:0000049	tRNA binding
HORVU.MOREX.r3.3HG0281860	GO:0000049	tRNA binding
HORVU.MOREX.r3.3HG0297410	GO:0000049	tRNA binding
HORVU.MOREX.r3.3HG0297570	GO:0000049	tRNA binding
HORVU.MOREX.r3.3HG0317520	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0335410	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0338530	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0339590	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0357750	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0370720	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0388500	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0396370	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0398870	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0398890	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0399210	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0399920	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0404170	GO:0000049	tRNA binding
HORVU.MOREX.r3.4HG0416710	GO:0000049	tRNA binding
HORVU.MOREX.r3.5HG0438540	GO:0000049	tRNA binding
HORVU.MOREX.r3.5HG0438710	GO:0000049	tRNA binding
HORVU.MOREX.r3.5HG0439040	GO:0000049	tRNA binding
HORVU.MOREX.r3.5HG0446480	GO:0000049	tRNA binding
HORVU.MOREX.r3.5HG0480300	GO:0000049	tRNA binding
HORVU.MOREX.r3.5HG0480320	GO:0000049	tRNA binding
HORVU.MOREX.r3.5HG0488290	GO:0000049	tRNA binding
HORVU.MOREX.r3.5HG0519720	GO:0000049	tRNA binding
HORVU.MOREX.r3.6HG0549780	GO:0000049	tRNA binding
HORVU.MOREX.r3.6HG0592920	GO:0000049	tRNA binding
HORVU.MOREX.r3.6HG0596160	GO:0000049	tRNA binding
HORVU.MOREX.r3.6HG0611090	GO:0000049	tRNA binding
HORVU.MOREX.r3.6HG0614630	GO:0000049	tRNA binding
HORVU.MOREX.r3.6HG0617840	GO:0000049	tRNA binding
HORVU.MOREX.r3.6HG0619760	GO:0000049	tRNA binding
HORVU.MOREX.r3.6HG0620220	GO:0000049	tRNA binding
HORVU.MOREX.r3.7HG0667400	GO:0000049	tRNA binding
HORVU.MOREX.r3.7HG0668470	GO:0000049	tRNA binding
HORVU.MOREX.r3.7HG0744860	GO:0000049	tRNA binding
HORVU.MOREX.r3.1HG0064320	GO:0000050	urea cycle
HORVU.MOREX.r3.1HG0064320	GO:0000053	argininosuccinate metabolic process
HORVU.MOREX.r3.7HG0713940	GO:0000054	ribosomal subunit export from nucleus
HORVU.MOREX.r3.2HG0192190	GO:0000055	ribosomal large subunit export from nucleus
HORVU.MOREX.r3.2HG0199300	GO:0000055	ribosomal large subunit export from nucleus
HORVU.MOREX.r3.5HG0536930	GO:0000055	ribosomal large subunit export from nucleus
HORVU.MOREX.r3.2HG0121570	GO:0000056	ribosomal small subunit export from nucleus
HORVU.MOREX.r3.2HG0192190	GO:0000056	ribosomal small subunit export from nucleus
HORVU.MOREX.r3.5HG0489690	GO:0000056	ribosomal small subunit export from nucleus
HORVU.MOREX.r3.5HG0536930	GO:0000056	ribosomal small subunit export from nucleus
HORVU.MOREX.r3.6HG0550880	GO:0000056	ribosomal small subunit export from nucleus
HORVU.MOREX.r3.2HG0124500	GO:0000062	fatty-acyl-CoA binding
HORVU.MOREX.r3.2HG0213220	GO:0000062	fatty-acyl-CoA binding
HORVU.MOREX.r3.2HG0213280	GO:0000062	fatty-acyl-CoA binding
HORVU.MOREX.r3.4HG0392690	GO:0000062	fatty-acyl-CoA binding
HORVU.MOREX.r3.5HG0445510	GO:0000062	fatty-acyl-CoA binding
HORVU.MOREX.r3.5HG0530170	GO:0000062	fatty-acyl-CoA binding
HORVU.MOREX.r3.7HG0640790	GO:0000062	fatty-acyl-CoA binding
HORVU.MOREX.r3.1HG0052800	GO:0000064	L-ornithine transmembrane transporter activity
HORVU.MOREX.r3.1HG0052810	GO:0000064	L-ornithine transmembrane transporter activity
HORVU.MOREX.r3.3HG0247870	GO:0000064	L-ornithine transmembrane transporter activity
HORVU.MOREX.r3.4HG0406990	GO:0000064	L-ornithine transmembrane transporter activity
HORVU.MOREX.r3.1HG0024230	GO:0000070	mitotic sister chromatid segregation
HORVU.MOREX.r3.3HG0270270	GO:0000070	mitotic sister chromatid segregation
HORVU.MOREX.r3.4HG0342990	GO:0000070	mitotic sister chromatid segregation
HORVU.MOREX.r3.7HG0744870	GO:0000070	mitotic sister chromatid segregation
HORVU.MOREX.r3.1HG0090300	GO:0000076	DNA replication checkpoint signaling
HORVU.MOREX.r3.4HG0375490	GO:0000076	DNA replication checkpoint signaling
HORVU.MOREX.r3.4HG0403020	GO:0000076	DNA replication checkpoint signaling
HORVU.MOREX.r3.2HG0183630	GO:0000077	DNA damage checkpoint signaling
HORVU.MOREX.r3.3HG0218410	GO:0000077	DNA damage checkpoint signaling
HORVU.MOREX.r3.4HG0375490	GO:0000077	DNA damage checkpoint signaling
HORVU.MOREX.r3.5HG0524260	GO:0000077	DNA damage checkpoint signaling
HORVU.MOREX.r3.7HG0644260	GO:0000077	DNA damage checkpoint signaling
HORVU.MOREX.r3.7HG0748510	GO:0000077	DNA damage checkpoint signaling
HORVU.MOREX.r3.1HG0057570	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.1HG0063810	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.2HG0136150	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.2HG0136180	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.2HG0136240	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.2HG0136290	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.2HG0136330	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.2HG0185490	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.2HG0189440	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.2HG0198940	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.6HG0551650	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.6HG0599820	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
HORVU.MOREX.r3.1HG0050180	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.1HG0069480	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.1HG0069490	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.1HG0069550	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.2HG0124130	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.2HG0136030	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.2HG0187970	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.2HG0202840	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.3HG0249410	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.3HG0259030	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.3HG0295540	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.3HG0327630	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.4HG0342640	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.4HG0343000	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.4HG0357620	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.4HG0395130	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.4HG0397920	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.4HG0397970	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.4HG0398540	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.5HG0438550	GO:0000082	G1/S transition of mitotic cell cycle
HORVU.MOREX.r3.5HG0439250	GO:0000082	G1/S transition of mitotic cell cycle
