gene_id	gene_name	description
HORVU.MOREX.r3.1HG0055540	NA	NA
HORVU.MOREX.r3.1HG0000360	NA	NA
HORVU.MOREX.r3.3HG0318810	NA	NA
HORVU.MOREX.r3.2HG0135150	NA	NA
HORVU.MOREX.r3.1HG0065030	NA	NA
HORVU.MOREX.r3.5HG0462850	NA	NA
HORVU.MOREX.r3.6HG0622550	NA	NA
HORVU.MOREX.r3.5HG0483660	NA	NA
HORVU.MOREX.r3.2HG0207560	NA	NA
HORVU.MOREX.r3.2HG0143220	NA	NA
HORVU.MOREX.r3.6HG0609190	NA	NA
HORVU.MOREX.r3.1HG0071650	NA	NA
HORVU.MOREX.r3.5HG0531260	NA	NA
HORVU.MOREX.r3.3HG0260700	NA	NA
HORVU.MOREX.r3.2HG0160950	NA	NA
HORVU.MOREX.r3.6HG0587880	NA	NA
HORVU.MOREX.r3.6HG0591290	NA	NA
HORVU.MOREX.r3.7HG0641730	NA	NA
HORVU.MOREX.r3.3HG0233890	NA	NA
HORVU.MOREX.r3.4HG0409510	NA	NA
HORVU.MOREX.r3.5HG0441660	NA	NA
HORVU.MOREX.r3.1HG0069580	NA	NA
HORVU.MOREX.r3.1HG0067040	NA	NA
HORVU.MOREX.r3.4HG0360600	NA	NA
HORVU.MOREX.r3.6HG0633190	NA	NA
HORVU.MOREX.r3.7HG0728290	NA	NA
HORVU.MOREX.r3.2HG0195300	NA	NA
HORVU.MOREX.r3.6HG0546570	NA	NA
HORVU.MOREX.r3.5HG0421880	NA	NA
HORVU.MOREX.r3.1HG0016210	CelB2	NA
HORVU.MOREX.r3.5HG0502310	NA	NA
HORVU.MOREX.r3.7HG0710390	NA	NA
HORVU.MOREX.r3.1HG0052200	NA	NA
HORVU.MOREX.r3.7HG0646900	NA	NA
HORVU.MOREX.r3.UnG0798910	NA	NA
HORVU.MOREX.r3.6HG0634030	NA	NA
HORVU.MOREX.r3.2HG0098610	NA	NA
HORVU.MOREX.r3.7HG0663620	NA	NA
HORVU.MOREX.r3.3HG0322270	NA	NA
HORVU.MOREX.r3.1HG0067980	NA	NA
HORVU.MOREX.r3.1HG0068890	NA	NA
HORVU.MOREX.r3.1HG0074060	NA	NA
HORVU.MOREX.r3.2HG0117010	NA	NA
HORVU.MOREX.r3.5HG0492450	NA	NA
HORVU.MOREX.r3.1HG0074650	NA	NA
HORVU.MOREX.r3.5HG0481670	NA	NA
HORVU.MOREX.r3.3HG0319890	NA	NA
HORVU.MOREX.r3.2HG0178130	NA	NA
HORVU.MOREX.r3.3HG0220160	NA	NA
HORVU.MOREX.r3.7HG0746180	NA	NA
HORVU.MOREX.r3.3HG0314750	NA	NA
HORVU.MOREX.r3.1HG0091680	NA	NA
HORVU.MOREX.r3.4HG0334220	NA	NA
HORVU.MOREX.r3.2HG0211650	NA	NA
HORVU.MOREX.r3.2HG0134430	NA	NA
HORVU.MOREX.r3.7HG0687600	NA	NA
HORVU.MOREX.r3.1HG0044280	NA	NA
HORVU.MOREX.r3.1HG0049190	NA	NA
HORVU.MOREX.r3.2HG0169250	NA	NA
HORVU.MOREX.r3.5HG0436390	NA	NA
HORVU.MOREX.r3.2HG0162010	NA	NA
HORVU.MOREX.r3.4HG0406930	NA	NA
HORVU.MOREX.r3.2HG0209370	NA	NA
HORVU.MOREX.r3.4HG0331440	NA	NA
HORVU.MOREX.r3.6HG0567470	NA	NA
HORVU.MOREX.r3.3HG0233200	NA	NA
HORVU.MOREX.r3.3HG0295020	NA	NA
HORVU.MOREX.r3.7HG0698870	NA	NA
